ticker,open,high,low,close,volume,vwap,t,transactions,otc
AAPL,189.4299,189.4299,189.4299,189.4299,302.0,189.4299,1701102250000,3,
AAPL,189.425,189.4281,189.42,189.4277,1580.0,189.4267,1701102251000,8,
AAPL,189.425,189.425,189.425,189.425,223.0,189.4253,1701102252000,8,
AAPL,189.425,189.425,189.425,189.425,304.0,189.4263,1701102253000,9,
AAPL,189.42,189.42,189.42,189.42,2718.0,189.42,1701102254000,46,
AAPL,189.41,189.41,189.4,189.4,4720.0,189.4018,1701102255000,75,
AAPL,189.4089,189.4089,189.4002,189.405,2060.0,189.4063,1701102257000,8,
AAPL,189.41,189.41,189.4095,189.4095,801.0,189.4093,1701102258000,16,
AAPL,189.4,189.4,189.4,189.4,1074.0,189.4,1701102259000,22,
AAPL,189.4,189.4,189.395,189.395,1136.0,189.3958,1701102260000,13,
AAPL,189.3901,189.395,189.38,189.39,6190.0,189.3888,1701102262000,44,
AAPL,189.38,189.38,189.375,189.38,1209.0,189.3796,1701102263000,14,
AAPL,189.39,189.395,189.38,189.38,1709.0,189.3891,1701102264000,22,
AAPL,189.3826,189.4,189.3826,189.4,657.0,189.3909,1701102266000,11,
AAPL,189.405,189.41,189.405,189.41,1135.0,189.409,1701102267000,17,
AAPL,189.41,189.41,189.41,189.41,251.0,189.41,1701102268000,3,
AAPL,189.4,189.4,189.4,189.4,1185.0,189.4003,1701102269000,16,
AAPL,189.4,189.405,189.395,189.405,2234.0,189.3995,1701102270000,27,
AAPL,189.395,189.395,189.395,189.395,512.0,189.395,1701102271000,5,
AAPL,189.395,189.395,189.39,189.39,4304.0,189.3949,1701102272000,11,
AAPL,189.3922,189.41,189.39,189.41,1945.0,189.3951,1701102273000,17,
AAPL,189.405,189.405,189.405,189.405,205.0,189.4063,1701102274000,13,
AAPL,189.405,189.405,189.405,189.405,404.0,189.405,1701102275000,4,
AAPL,189.4,189.4,189.39,189.39,1516.0,189.394,1701102276000,20,
AAPL,189.38,189.38,189.375,189.38,2250.0,189.3796,1701102278000,37,
AAPL,189.375,189.38,189.35,189.35,1934.0,189.3654,1701102279000,36,
AAPL,189.35,189.35,189.35,189.35,212.0,189.3509,1701102280000,5,
AAPL,189.3508,189.3508,189.3508,189.3508,199.0,189.3506,1701102283000,5,
AAPL,189.352,189.352,189.352,189.352,208.0,189.3528,1701102284000,5,
AAPL,189.355,189.358,189.34,189.345,1628.0,189.3512,1701102286000,13,
AAPL,189.34,189.35,189.34,189.34,1950.0,189.3405,1701102287000,25,
AAPL,189.355,189.355,189.355,189.355,479.0,189.3541,1701102288000,11,
AAPL,189.34,189.3401,189.34,189.34,1300.0,189.34,1701102290000,20,
AAPL,189.34,189.34,189.325,189.33,2044.0,189.332,1701102291000,26,
AAPL,189.33,189.33,189.33,189.33,292.0,189.3304,1701102292000,6,
AAPL,189.325,189.34,189.325,189.34,1129.0,189.331,1701102293000,14,
AAPL,189.335,189.34,189.335,189.34,654.0,189.3367,1701102294000,13,
AAPL,189.34,189.34,189.335,189.335,406.0,189.3375,1701102295000,9,
AAPL,189.335,189.335,189.335,189.335,164.0,189.335,1701102296000,2,
AAPL,189.33,189.335,189.33,189.33,1607.0,189.3313,1701102297000,22,
AAPL,189.33,189.34,189.33,189.335,1106.0,189.3318,1701102298000,19,
AAPL,189.3286,189.3286,189.3286,189.3286,527.0,189.3287,1701102301000,5,
AAPL,189.32,189.329,189.32,189.329,1574.0,189.3206,1701102307000,46,
AAPL,189.325,189.325,189.325,189.325,970.0,189.325,1701102308000,1,
AAPL,189.32,189.32,189.32,189.32,473.0,189.3201,1701102309000,12,
AAPL,189.324,189.324,189.324,189.324,734.0,189.3239,1701102310000,5,
AAPL,189.325,189.325,189.325,189.325,270.0,189.3261,1701102312000,8,
AAPL,189.325,189.325,189.325,189.325,163.0,189.3249,1701102313000,6,
AAPL,189.325,189.33,189.325,189.33,3176.0,189.3286,1701102315000,39,
AAPL,189.33,189.33,189.3103,189.315,4333.0,189.3173,1701102316000,30,
AAPL,189.315,189.315,189.315,189.315,737.0,189.315,1701102317000,9,
AAPL,189.31,189.31,189.29,189.3,4785.0,189.3006,1701102318000,59,
AAPL,189.2999,189.2999,189.295,189.295,1205.0,189.2991,1701102319000,8,
AAPL,189.3,189.31,189.3,189.31,1242.0,189.3022,1701102320000,11,
AAPL,189.31,189.3142,189.31,189.31,945.0,189.3113,1701102321000,10,
AAPL,189.31,189.31,189.31,189.31,431.0,189.31,1701102322000,6,
AAPL,189.3,189.3,189.3,189.3,535.0,189.2991,1701102324000,8,
AAPL,189.29,189.29,189.29,189.29,1634.0,189.29,1701102326000,32,
AAPL,189.295,189.295,189.295,189.295,242.0,189.2937,1701102327000,6,
AAPL,189.29,189.29,189.29,189.29,242.0,189.29,1701102328000,14,
AAPL,189.29,189.29,189.29,189.29,447.0,189.291,1701102330000,12,
AAPL,189.285,189.29,189.285,189.29,887.0,189.2902,1701102331000,14,
AAPL,189.295,189.2963,189.29,189.29,1852.0,189.2943,1701102332000,14,
AAPL,189.295,189.295,189.295,189.295,412.0,189.2951,1701102334000,14,
AAPL,189.29,189.29,189.29,189.29,408.0,189.2906,1701102336000,9,
AAPL,189.2901,189.2901,189.29,189.29,2865.0,189.29,1701102338000,48,
AAPL,189.29,189.29,189.29,189.29,1909.0,189.29,1701102339000,32,
AAPL,189.29,189.29,189.29,189.29,337.0,189.2899,1701102341000,9,
AAPL,189.29,189.29,189.29,189.29,371.0,189.2886,1701102342000,14,
AAPL,189.29,189.29,189.285,189.285,430.0,189.2879,1701102343000,10,
AAPL,189.29,189.32,189.29,189.32,3555.0,189.3018,1701102344000,50,
AAPL,189.31,189.31,189.28,189.29,1957.0,189.2987,1701102345000,38,
AAPL,189.285,189.285,189.285,189.285,213.0,189.2841,1701102346000,17,
AAPL,189.285,189.29,189.28,189.2887,1741.0,189.282,1701102347000,24,
AAPL,189.29,189.31,189.29,189.31,3295.0,189.2997,1701102349000,34,
AAPL,189.31,189.31,189.31,189.31,605.0,189.3107,1701102350000,9,
AAPL,189.31,189.31,189.31,189.31,2042.0,189.31,1701102351000,4,
AAPL,189.31,189.31,189.31,189.31,102.0,189.3102,1701102352000,3,
AAPL,189.31,189.31,189.31,189.31,100.0,189.31,1701102353000,1,
AAPL,189.31,189.33,189.31,189.33,1234.0,189.3218,1701102354000,21,
AAPL,189.32,189.32,189.32,189.32,352.0,189.3191,1701102355000,8,
AAPL,189.32,189.32,189.32,189.32,385.0,189.3268,1701102356000,9,
AAPL,189.31,189.3142,189.31,189.31,1792.0,189.3103,1701102357000,26,
AAPL,189.32,189.32,189.32,189.32,159.0,189.3157,1701102358000,7,
AAPL,189.3001,189.3001,189.3001,189.3001,251.0,189.3001,1701102359000,3,
AAPL,189.3,189.3,189.3,189.3,1076.0,189.3,1701102360000,18,
AAPL,189.305,189.305,189.305,189.305,523.0,189.305,1701102363000,3,
AAPL,189.309,189.309,189.309,189.309,973.0,189.309,1701102364000,2,
AAPL,189.31,189.33,189.305,189.33,5759.0,189.3128,1701102365000,67,
AAPL,189.33,189.33,189.33,189.33,1098.0,189.3298,1701102366000,6,
AAPL,189.32,189.32,189.32,189.32,837.0,189.3184,1701102367000,15,
AAPL,189.32,189.32,189.32,189.32,286.0,189.32,1701102369000,2,
AAPL,189.3123,189.3123,189.3123,189.3123,108.0,189.3125,1701102370000,6,
AAPL,189.32,189.33,189.32,189.33,807.0,189.3213,1701102372000,15,
AAPL,189.3295,189.3295,189.3295,189.3295,152.0,189.3282,1701102373000,6,
AAPL,189.3295,189.3295,189.3295,189.3295,190.0,189.3274,1701102374000,2,
AAPL,189.3295,189.3295,189.3295,189.3295,350.0,189.3338,1701102375000,11,
AAPL,189.325,189.325,189.325,189.325,272.0,189.325,1701102377000,4,
AAPL,189.3286,189.3286,189.3246,189.3246,460.0,189.3246,1701102378000,7,
AAPL,189.32,189.32,189.3199,189.3199,1504.0,189.32,1701102379000,17,
AAPL,189.3188,189.3188,189.3188,189.3188,191.0,189.318,1701102380000,6,
AAPL,189.31,189.31,189.3,189.3,2204.0,189.3056,1701102381000,22,
AAPL,189.3,189.3,189.3,189.3,2792.0,189.3,1701102382000,30,
AAPL,189.295,189.2974,189.295,189.2974,415.0,189.2966,1701102384000,5,
AAPL,189.2982,189.2982,189.291,189.291,1265.0,189.2948,1701102385000,9,
AAPL,189.295,189.2967,189.295,189.2967,263.0,189.2957,1701102386000,8,
AAPL,189.29,189.295,189.29,189.295,673.0,189.2938,1701102390000,8,
AAPL,189.29,189.29,189.29,189.29,1386.0,189.2897,1701102391000,23,
AAPL,189.29,189.29,189.28,189.28,1015.0,189.2811,1701102392000,19,
AAPL,189.27,189.27,189.27,189.27,192.0,189.2711,1701102393000,8,
AAPL,189.28,189.28,189.275,189.28,730.0,189.2767,1701102394000,17,
AAPL,189.27,189.27,189.27,189.27,806.0,189.27,1701102396000,5,
AAPL,189.28,189.28,189.28,189.28,475.0,189.2918,1701102397000,13,
AAPL,189.285,189.285,189.285,189.285,101.0,189.285,1701102398000,2,
AAPL,189.29,189.29,189.29,189.29,677.0,189.2921,1701102399000,20,
AAPL,189.295,189.295,189.29,189.29,1880.0,189.2913,1701102400000,25,
AAPL,189.3,189.3,189.3,189.3,875.0,189.2979,1701102401000,8,
AAPL,189.295,189.3181,189.295,189.3181,3345.0,189.3006,1701102402000,42,
AAPL,189.325,189.325,189.325,189.325,221.0,189.3246,1701102405000,4,
AAPL,189.325,189.325,189.325,189.325,809.0,189.3248,1701102407000,9,
AAPL,189.33,189.33,189.33,189.33,202.0,189.33,1701102408000,4,
AAPL,189.33,189.3301,189.33,189.3301,2276.0,189.3301,1701102409000,20,
AAPL,189.34,189.35,189.34,189.35,1860.0,189.3443,1701102410000,22,
