ts_recv,raw_symbol,expiration,instrument_class,strike_price,underlying,instrument_id,time,diff
1712275200000000000,"ESZ8 C1700",1860503400000000000,"C",1700.0,"ESZ8",42341572,1721398215586,1
1712275200000000000,"ESH5 C7700",1742563800000000000,"C",7700.0,"ESH5",42338112,1721398215586,1
1712275200000000000,"UD:1V: VT 2651357",1712354340000000000,"T",9223372036.854776,"",2651357,1721398215586,1
1712275200000000000,"ESH5 P1400",1742563800000000000,"P",1400.0,"ESH5",626480,1721398215586,1
1712329317171390640,"UD:1V: GN 2793778",1712354340000000000,"T",9223372036.854776,"",2793778,1721398215586,1
1712275200000000000,"UD:1V: GN 2500974",1712088000000000000,"T",9223372036.854776,"",2500974,1721398215586,1
1712275200000000000,"ESU5 P2600",1758288600000000000,"P",2600.0,"ESU5",42195921,1721398215586,1
1712275200000000000,"ESM4 P4725",1718976600000000000,"P",4725.0,"ESM4",42426732,1721398215586,1
1712340939857241642,"UD:1V: GN 2800700",1712354340000000000,"T",9223372036.854776,"",2800700,1721398215586,1
1712275200000000000,"ESM5 C3400",1750426200000000000,"C",3400.0,"ESM5",693968,1721398215586,1
1712275200000000000,"ESU4 P4000",1726839000000000000,"P",4000.0,"ESU4",608635,1721398215586,1
1712275200000000000,"UD:1V: 12 2555578",1712354340000000000,"T",9223372036.854776,"",2555578,1721398215586,1
1712299790566401760,"UD:1V: GT 2773349",1712354340000000000,"T",9223372036.854776,"",2773349,1721398215586,1
1712275200000000000,"UD:1V: SG 2536265",1712354340000000000,"T",9223372036.854776,"",2536265,1721398215586,1
1712275200000000000,"UD:1V: VT 2509194",1712354340000000000,"T",9223372036.854776,"",2509194,1721398215586,1
1712275200000000000,"ESZ5 C1000",1766154600000000000,"C",1000.0,"ESZ5",708231,1721398215586,1
1712275200000000000,"ESZ5 C7000",1766154600000000000,"C",7000.0,"ESZ5",273802,1721398215586,1
1712275200000000000,"ESH6 P7600",1774013400000000000,"P",7600.0,"ESH6",42430455,1721398215586,1
1712275200000000000,"UD:1V: SG 2529085",1712354340000000000,"T",9223372036.854776,"",2529085,1721398215586,1
1712275200000000000,"ESM4 C5325",1718976600000000000,"C",5325.0,"ESM4",42431935,1721398215586,1
1712275200000000000,"ESU4 P2550",1726839000000000000,"P",2550.0,"ESU4",42261524,1721398215586,1
1712275200000000000,"ESM4 C5390",1718976600000000000,"C",5390.0,"ESM4",42405976,1721398215586,1
1712275200000000000,"UD:1V: GT 2546668",1712354340000000000,"T",9223372036.854776,"",2546668,1721398215586,1
1712275200000000000,"UD:1V: VT 2529713",1712354340000000000,"T",9223372036.854776,"",2529713,1721398215586,1
1712275200000000000,"ESZ7 C6900",1829053800000000000,"C",6900.0,"ESZ7",4215664,1721398215586,1
1712275200000000000,"UD:1V: SG 2622227",1712354340000000000,"T",9223372036.854776,"",2622227,1721398215586,1
1712275200000000000,"ESZ6 C0900",1797604200000000000,"C",900.0,"ESZ6",422778,1721398215586,1
1712275200000000000,"ESZ5 P7800",1766154600000000000,"P",7800.0,"ESZ5",42420171,1721398215586,1
1712275200000000000,"ESU4 P5450",1726839000000000000,"P",5450.0,"ESU4",42203792,1721398215586,1
1712275200000000000,"ESU5 C4100",1758288600000000000,"C",4100.0,"ESU5",42198138,1721398215586,1
1712275200000000000,"UD:1V: VT 2504393",1712354340000000000,"T",9223372036.854776,"",2504393,1721398215586,1
1712275200000000000,"UD:1V: GT 2622112",1712354340000000000,"T",9223372036.854776,"",2622112,1721398215586,1
1712275200000000000,"ESH6 C3700",1774013400000000000,"C",3700.0,"ESH6",42429005,1721398215586,1
1712275200000000000,"ESZ8 C7700",1860503400000000000,"C",7700.0,"ESZ8",42311118,1721398215586,1
1712275200000000000,"ESU4 C3650",1726839000000000000,"C",3650.0,"ESU4",42154881,1721398215586,1
1712312356945686141,"UD:1V: DG 2783272",1712354340000000000,"T",9223372036.854776,"",2783272,1721398215586,1
1712275200000000000,"ESZ4 C3850",1734705000000000000,"C",3850.0,"ESZ4",42322533,1721398215586,1
1712275200000000000,"ESZ8 P5700",1860503400000000000,"P",5700.0,"ESZ8",42341579,1721398215586,1
1712275200000000000,"UD:1V: SG 2535551",1712354340000000000,"T",9223372036.854776,"",2535551,1721398215586,1
1712275200000000000,"ESZ8 C8000",1860503400000000000,"C",8000.0,"ESZ8",42214886,1721398215586,1
1712275200000000000,"ESZ5 C3600",1766154600000000000,"C",3600.0,"ESZ5",359138,1721398215586,1
1712275200000000000,"ESZ8 P7700",1860503400000000000,"P",7700.0,"ESZ8",42324385,1721398215586,1
1712275200000000000,"ESH6 P4700",1774013400000000000,"P",4700.0,"ESH6",42426738,1721398215586,1
1712275200000000000,"ESH6 P1600",1774013400000000000,"P",1600.0,"ESH6",42428994,1721398215586,1
